flightid,originairportid,destairportid,carrier,dayofmonth,dayofweek,departuredelay,arrivaldelay
664075,10140,11259,WN,31,5,-6,-15
664076,10140,11259,WN,31,5,-1,-8
664077,10140,11259,WN,31,5,-1,-1
664574,11259,10140,WN,31,5,9,3
664575,11259,10140,WN,31,5,2,1
664576,11259,10140,WN,31,5,18,19
664577,11259,10140,WN,31,5,1,3
664578,11259,10140,WN,31,5,38,37
664579,11259,10140,WN,31,5,-3,-6
664580,11259,10140,WN,31,5,2,0
664581,11259,10140,WN,31,5,3,-7
666877,13930,14307,YV,2,4,-4,-14
666917,14307,13930,YV,2,4,-8,-12
667129,13930,14307,YV,3,5,171,178
667170,14307,13930,YV,3,5,-11,-25
667343,13930,14307,YV,9,4,-2,6
667384,14307,13930,YV,9,4,-7,-32
667588,13930,14307,YV,10,5,0,0
667630,14307,13930,YV,10,5,21,25
667756,13930,14307,YV,7,2,-5,-6
667798,14307,13930,YV,7,2,-10,-28
667998,13930,14307,YV,8,3,-3,7
668040,14307,13930,YV,8,3,-11,-26
668255,14307,13930,YV,14,2,-10,-17
668457,13930,14307,YV,15,3,8,12
668498,14307,13930,YV,15,3,-6,-9
668705,13930,14307,YV,16,4,3,-8
668750,14307,13930,YV,16,4,-4,-5
669309,13930,14307,YV,4,6,327,340
669346,14307,13930,YV,4,6,-11,-35
669541,13930,14307,YV,5,7,0,10
669584,14307,13930,YV,5,7,-10,-37
669791,13930,14307,YV,6,1,-4,2
669833,14307,13930,YV,6,1,-8,-18
669957,13930,14307,YV,1,3,0,1
669997,14307,13930,YV,1,3,-7,-28
669998,14307,13930,YV,1,3,-5,-26
670140,13930,14307,YV,12,7,-2,-16
670183,14307,13930,YV,12,7,-5,-19
670392,13930,14307,YV,13,1,-2,5
670435,14307,13930,YV,13,1,-6,-25
670635,13930,14307,YV,14,2,-4,-14
670734,13930,14307,YV,22,3,134,135
670779,14307,13930,YV,22,3,-5,-12
671236,11259,10140,WN,24,5,45,46
671237,11259,10140,WN,24,5,9,3
671238,11259,10140,WN,24,5,31,34
671239,11259,10140,WN,24,5,21,23
671240,11259,10140,WN,24,5,0,0
671241,11259,10140,WN,24,5,-3,-1
671242,11259,10140,WN,24,5,13,8
671243,11259,10140,WN,24,5,11,-1
671525,13930,14307,YV,11,6,74,66
671564,14307,13930,YV,11,6,0,0
671770,13930,14307,YV,17,5,0,-12
671812,14307,13930,YV,17,5,-10,5
672006,13930,14307,YV,18,6,-5,-3
672045,14307,13930,YV,18,6,-6,-23
672239,13930,14307,YV,19,7,-1,5
672281,14307,13930,YV,19,7,-15,-37
672308,13930,14307,YV,23,4,126,146
672351,14307,13930,YV,23,4,-7,-19
672546,13930,14307,YV,24,5,20,21
672588,14307,13930,YV,24,5,-8,-22
674319,13930,14307,YV,20,1,11,13
674361,14307,13930,YV,20,1,-10,-34
674557,13930,14307,YV,21,2,4,0
674599,14307,13930,YV,21,2,60,36
674740,14307,13930,YV,27,1,-3,6
674930,13930,14307,YV,28,2,-2,-8
674971,14307,13930,YV,28,2,-7,-2
675156,13930,14307,YV,25,6,-2,-10
675189,14307,13930,YV,25,6,-4,14
675369,13930,14307,YV,26,7,-7,-15
675589,13930,14307,YV,27,1,92,80
676195,13930,14307,YV,30,4,162,159
676234,14307,13930,YV,30,4,-10,-28
676430,13930,14307,YV,31,5,9,5
676471,14307,13930,YV,31,5,-8,-29
676657,13930,14307,YV,29,3,88,82
676698,14307,13930,YV,29,3,-9,-22
679215,13930,10140,MQ,1,3,0,1
679216,13930,10140,MQ,2,4,50,83
679217,13930,10140,MQ,3,5,176,174
679218,13930,10140,MQ,4,6,0,-7
679219,13930,10140,MQ,5,7,0,-18
679220,13930,10140,MQ,6,1,217,225
679221,13930,10140,MQ,7,2,-4,-8
679222,13930,10140,MQ,8,3,26,21
679223,13930,10140,MQ,9,4,43,32
679224,13930,10140,MQ,10,5,52,51
679225,13930,10140,MQ,11,6,7,-6
679226,13930,10140,MQ,12,7,43,15
679227,13930,10140,MQ,13,1,-3,-27
679228,13930,10140,MQ,14,2,8,-4
679229,13930,10140,MQ,15,3,-1,-10
679230,13930,10140,MQ,16,4,28,22
679231,13930,10140,MQ,17,5,125,112
679232,13930,10140,MQ,18,6,-2,3
679233,13930,10140,MQ,19,7,105,119
679234,13930,10140,MQ,20,1,56,78
679235,13930,10140,MQ,21,2,13,1
679236,13930,10140,MQ,22,3,20,19
679237,13930,10140,MQ,23,4,30,31
679238,13930,10140,MQ,24,5,77,82
679239,13930,10140,MQ,25,6,0,-1
679240,13930,10140,MQ,26,7,-1,-5
679241,13930,10140,MQ,27,1,114,125
679242,13930,10140,MQ,28,2,4,36
679243,13930,10140,MQ,29,3,0,0
679244,13930,10140,MQ,30,4,129,154
679245,13930,10140,MQ,31,5,135,138
679670,10140,13930,MQ,1,3,-2,-1
679671,10140,13930,MQ,2,4,-7,-18
680038,10140,13930,MQ,1,3,-6,-2
680039,10140,13930,MQ,2,4,11,6
680040,10140,13930,MQ,3,5,105,158
680041,10140,13930,MQ,4,6,-5,1
680042,10140,13930,MQ,5,7,5,11
680043,10140,13930,MQ,6,1,-1,1
680044,10140,13930,MQ,7,2,2,-6
680045,10140,13930,MQ,8,3,-1,5
680046,10140,13930,MQ,9,4,12,5
680047,10140,13930,MQ,10,5,99,103
680048,10140,13930,MQ,11,6,0,5
680049,10140,13930,MQ,12,7,-6,2
680050,10140,13930,MQ,13,1,12,21
680051,10140,13930,MQ,14,2,35,33
680052,10140,13930,MQ,15,3,-1,-2
680053,10140,13930,MQ,16,4,22,24
680054,10140,13930,MQ,17,5,0,10
680055,10140,13930,MQ,18,6,7,3
680056,10140,13930,MQ,19,7,30,15
680057,10140,13930,MQ,20,1,2,8
680058,10140,13930,MQ,21,2,156,166
680059,10140,13930,MQ,22,3,131,138
680060,10140,13930,MQ,23,4,100,105
680061,10140,13930,MQ,24,5,-11,-18
680062,10140,13930,MQ,25,6,115,110
680063,10140,13930,MQ,26,7,64,70
680064,10140,13930,MQ,27,1,35,28
680065,10140,13930,MQ,28,2,-1,1
680066,10140,13930,MQ,29,3,13,12
680067,10140,13930,MQ,30,4,-5,79
680068,10140,13930,MQ,31,5,26,46
681230,13930,10140,MQ,1,3,-3,-6
681231,13930,10140,MQ,2,4,2,8
681232,13930,10140,MQ,3,5,59,57
681233,13930,10140,MQ,4,6,2,-3
681234,13930,10140,MQ,5,7,14,5
681235,13930,10140,MQ,6,1,-2,-4
681236,13930,10140,MQ,7,2,-1,-5
681237,13930,10140,MQ,8,3,1,1
681238,13930,10140,MQ,9,4,17,16
681239,13930,10140,MQ,10,5,10,7
681240,13930,10140,MQ,11,6,7,1
681241,13930,10140,MQ,12,7,1,-11
681242,13930,10140,MQ,13,1,30,18
681243,13930,10140,MQ,14,2,-2,-14
681244,13930,10140,MQ,15,3,7,5
681245,13930,10140,MQ,16,4,34,27
681246,13930,10140,MQ,17,5,0,4
681247,13930,10140,MQ,18,6,11,11
681248,13930,10140,MQ,19,7,31,31
681249,13930,10140,MQ,20,1,8,6
681250,13930,10140,MQ,21,2,149,155
681251,13930,10140,MQ,22,3,0,-1
681252,13930,10140,MQ,23,4,106,96
681253,13930,10140,MQ,24,5,0,-1
681254,13930,10140,MQ,25,6,120,114
681255,13930,10140,MQ,26,7,30,40
681256,13930,10140,MQ,27,1,33,37
681257,13930,10140,MQ,28,2,-3,-5
681258,13930,10140,MQ,29,3,1,10
681259,13930,10140,MQ,30,4,-4,-8
681260,13930,10140,MQ,31,5,16,24
682339,10140,13930,MQ,3,5,76,143
682340,10140,13930,MQ,4,6,-7,-8
682341,10140,13930,MQ,5,7,-13,-9
682342,10140,13930,MQ,6,1,-7,-12
682343,10140,13930,MQ,7,2,62,77
682344,10140,13930,MQ,8,3,152,151
682345,10140,13930,MQ,9,4,-4,-12
682346,10140,13930,MQ,10,5,-5,-9
682347,10140,13930,MQ,11,6,165,173
682348,10140,13930,MQ,12,7,-8,-14
682349,10140,13930,MQ,13,1,40,52
682350,10140,13930,MQ,14,2,-5,-10
682351,10140,13930,MQ,15,3,-10,-8
682352,10140,13930,MQ,16,4,0,-4
682353,10140,13930,MQ,17,5,61,57
682354,10140,13930,MQ,18,6,0,-7
682355,10140,13930,MQ,19,7,4,-2
682356,10140,13930,MQ,20,1,174,164
682357,10140,13930,MQ,21,2,-2,-4
682358,10140,13930,MQ,23,4,-1,41
682359,10140,13930,MQ,24,5,-10,-21
682360,10140,13930,MQ,25,6,145,151
682361,10140,13930,MQ,26,7,133,161
682362,10140,13930,MQ,27,1,3,21
682363,10140,13930,MQ,28,2,-5,-14
682364,10140,13930,MQ,29,3,125,135
682365,10140,13930,MQ,30,4,0,0
682366,10140,13930,MQ,31,5,-5,-15
695437,10140,13930,OO,31,5,-2,23
695438,10140,13930,OO,30,4,15,74
707762,13930,10140,OO,1,3,-1,-4
708941,10140,13930,OO,1,3,-4,-20
708942,10140,13930,OO,7,2,-1,-4
708943,10140,13930,OO,14,2,-8,-6
708944,10140,13930,OO,15,3,101,95
708945,10140,13930,OO,8,3,-7,-14
708946,10140,13930,OO,22,3,112,123
708947,10140,13930,OO,21,2,-9,-19
708948,10140,13930,OO,29,3,-4,-15
709731,13930,10140,OO,3,5,40,31
709732,13930,10140,OO,2,4,4,-9
709733,13930,10140,OO,6,1,4,-5
709734,13930,10140,OO,7,2,-6,-18
709735,13930,10140,OO,15,3,135,105
709736,13930,10140,OO,23,4,25,6
709737,13930,10140,OO,20,1,-4,-6
709738,13930,10140,OO,16,4,7,-12
709739,13930,10140,OO,17,5,-2,-10
709740,13930,10140,OO,21,2,-6,-17
709741,13930,10140,OO,24,5,2,2
709742,13930,10140,OO,8,3,-3,-17
709743,13930,10140,OO,22,3,10,0
709744,13930,10140,OO,10,5,-1,-27
709745,13930,10140,OO,13,1,0,-21
709746,13930,10140,OO,14,2,16,-9
709747,13930,10140,OO,9,4,-5,-21
709774,13930,10140,OO,30,4,9,5
709775,13930,10140,OO,31,5,-3,0
709776,13930,10140,OO,29,3,0,-17
709911,10140,13930,OO,28,2,-14,-18
710144,13930,10140,OO,26,7,-4,-10
710228,13930,10140,OO,4,6,-5,-23
710229,13930,10140,OO,25,6,-4,-8
710230,13930,10140,OO,18,6,-1,-9
710231,13930,10140,OO,11,6,-4,-16
711217,10140,13930,OO,26,7,-3,-8
712260,13930,10140,OO,28,2,-1,-15
712983,10140,13930,OO,6,1,-1,-3
712984,10140,13930,OO,3,5,260,282
712985,10140,13930,OO,2,4,-6,-14
712986,10140,13930,OO,20,1,-1,-4
712987,10140,13930,OO,17,5,-10,1
712988,10140,13930,OO,16,4,-4,7
712989,10140,13930,OO,24,5,0,-10
712990,10140,13930,OO,23,4,9,16
712991,10140,13930,OO,10,5,75,65
712992,10140,13930,OO,13,1,-7,-7
712993,10140,13930,OO,9,4,-10,-21
714113,13930,14908,UA,31,5,-7,-12
714194,14908,13930,UA,30,4,-2,-22
714230,13930,14908,UA,30,4,49,35
714412,14307,13930,UA,30,4,39,78
714428,14908,13930,UA,30,4,-6,61
714438,13930,14908,UA,30,4,33,57
714519,14908,13930,UA,30,4,-6,-22
714608,13930,14307,UA,30,4,-9,-13
714658,13930,14908,UA,30,4,111,103
715351,13930,14307,UA,31,5,3,7
715402,13930,14908,UA,31,5,-2,-12
716041,14908,13930,UA,31,5,4,-14
716327,14908,13930,UA,31,5,-2,-3
716365,13930,14908,UA,31,5,-1,-32
716524,14908,13930,UA,31,5,0,11
716545,14307,13930,UA,31,5,7,-21
716563,14908,13930,UA,31,5,0,-3
716573,13930,14908,UA,31,5,6,-5
717224,13930,14908,UA,29,3,14,49
717548,14908,13930,UA,28,2,0,0
717566,13930,14307,UA,28,2,1,-9
717569,13930,14908,UA,28,2,-1,-23
717665,14908,13930,UA,28,2,1,-13
717674,14908,13930,UA,28,2,0,3
718126,14908,13930,UA,30,4,144,148
718333,13930,14908,UA,29,3,25,10
718417,14908,13930,UA,29,3,2,18
718429,14908,13930,UA,29,3,-7,-34
718437,14908,13930,UA,29,3,-2,-16
718466,14908,13930,UA,29,3,0,7
718481,13930,14908,UA,29,3,46,15
718659,14307,13930,UA,29,3,35,32
718682,13930,14908,UA,29,3,34,33
718833,13930,14307,UA,29,3,0,-5
718975,14908,13930,UA,28,2,11,-12
719201,13930,14908,UA,27,1,0,-10
719255,13930,14908,UA,27,1,0,3
719258,14908,13930,UA,27,1,48,39
719272,14908,13930,UA,27,1,20,6
719348,13930,14908,UA,30,4,-4,-24
719414,13930,14908,UA,28,2,3,35
719603,14307,13930,UA,28,2,-9,-15
719631,13930,14908,UA,28,2,-2,-1
719824,13930,14908,UA,28,2,-5,-2
721172,13930,14908,UA,27,1,-7,-27
721316,14908,13930,UA,27,1,3,14
721365,14307,13930,UA,26,7,-3,-24
721442,13930,14908,UA,26,7,-1,-22
721589,14908,13930,UA,26,7,-3,4
721730,13930,14908,UA,26,7,8,-8
721778,13930,14908,UA,24,5,-2,-17
721952,13930,14908,UA,24,5,-4,-20
722137,14307,13930,UA,24,5,0,-11
722146,13930,14307,UA,24,5,5,4
722163,13930,14908,UA,24,5,4,-20
722179,14908,13930,UA,24,5,0,-10
722235,14908,13930,UA,24,5,-8,-27
722374,13930,14908,UA,24,5,5,-7
722617,14307,13930,UA,27,1,-6,-5
722666,14908,13930,UA,27,1,8,19
722799,13930,14307,UA,27,1,-8,-21
722860,13930,14908,UA,27,1,2,-1
723905,14908,13930,UA,24,5,-9,-15
724050,13930,14307,UA,26,7,3,-6
724222,14908,13930,UA,25,6,12,-3
724286,14908,13930,UA,25,6,-2,-9
724335,13930,14908,UA,25,6,-6,-14
724372,13930,14908,UA,25,6,-4,-38
724386,14908,13930,UA,25,6,-6,-24
724892,14908,13930,UA,23,4,-8,6
724940,13930,14908,UA,23,4,6,-7
725112,13930,14908,UA,23,4,10,-10
725299,14307,13930,UA,23,4,42,58
725308,13930,14307,UA,23,4,29,47
725324,13930,14908,UA,23,4,11,-16
725341,14908,13930,UA,23,4,21,17
725473,13930,14908,UA,22,3,4,4
725663,14908,13930,UA,24,5,9,-8
725822,14908,13930,UA,23,4,23,2
725957,13930,14908,UA,23,4,64,38
726119,14908,13930,UA,23,4,-1,12
726655,14908,13930,UA,22,3,-6,-8
726761,13930,14908,UA,22,3,4,-17
727057,14908,13930,UA,21,2,-4,-19
727317,13930,14908,UA,21,2,18,-6
727448,14908,13930,UA,21,2,0,-25
727457,14908,13930,UA,21,2,3,-11
727492,13930,14908,UA,21,2,-2,-14
727674,14307,13930,UA,21,2,149,137
727682,13930,14307,UA,21,2,114,106
727695,13930,14908,UA,21,2,0,-15
727707,14908,13930,UA,21,2,-4,-16
727895,13930,14908,UA,21,2,13,3
728048,14307,13930,UA,20,1,57,31
728058,13930,14307,UA,20,1,66,65
728073,13930,14908,UA,20,1,49,31
728084,14908,13930,UA,20,1,-3,-1
728090,14908,13930,UA,20,1,-4,-6
728144,14908,13930,UA,20,1,0,-38
728287,13930,14908,UA,20,1,9,-15
728448,14908,13930,UA,20,1,-7,-31
729068,13930,14908,UA,20,1,-4,-38
729248,13930,14908,UA,20,1,-2,-9
729363,13930,14908,UA,19,7,0,10
729776,14908,13930,UA,18,6,-9,-28
729841,14908,13930,UA,18,6,15,-8
729892,13930,14908,UA,18,6,-2,-30
729932,13930,14908,UA,18,6,-6,-35
729945,14908,13930,UA,18,6,-2,-13
730425,14307,13930,UA,19,7,-2,-27
730540,13930,14908,UA,19,7,-3,-31
730663,14908,13930,UA,19,7,-2,-29
730821,13930,14908,UA,19,7,-7,18
730850,13930,14908,UA,19,7,-3,-18
730871,14307,13930,UA,19,7,-7,-27
731036,13930,14307,UA,19,7,-3,-3
731050,14908,13930,UA,19,7,-2,-5
731248,14908,13930,UA,19,7,10,40
731422,14307,13930,UA,17,5,-10,-11
731432,13930,14307,UA,17,5,0,-19
731448,13930,14908,UA,17,5,9,-33
731457,14908,13930,UA,17,5,-8,-5
731465,14908,13930,UA,17,5,-6,14
731519,14908,13930,UA,17,5,-1,2
731660,13930,14908,UA,17,5,17,-4
731827,14908,13930,UA,17,5,9,6
732002,13930,14307,UA,18,6,-7,-8
732707,13930,14908,UA,17,5,-4,-10
732892,13930,14908,UA,17,5,-7,-35
732978,14908,13930,UA,16,4,4,7
733598,13930,14908,UA,16,4,-2,-32
733774,13930,14908,UA,16,4,-3,-35
733963,14307,13930,UA,16,4,2,9
733973,13930,14307,UA,16,4,-4,3
733988,13930,14908,UA,16,4,-2,-35
733999,14908,13930,UA,16,4,-5,-12
734005,14908,13930,UA,16,4,-3,-18
734058,14908,13930,UA,16,4,-6,-1
734201,13930,14908,UA,16,4,-5,-20
734392,13930,14908,UA,14,2,-6,-47
734525,14908,13930,UA,14,2,-4,2
734532,14908,13930,UA,14,2,-8,-10
734566,13930,14908,UA,14,2,0,-45
734751,14307,13930,UA,14,2,-8,-27
734757,13930,14307,UA,14,2,-5,-16
734770,13930,14908,UA,14,2,8,-34
734782,14908,13930,UA,14,2,-6,-17
735415,14908,13930,UA,15,3,-7,-13
735426,14307,13930,UA,15,3,-4,-14
735434,13930,14307,UA,15,3,-1,-11
735452,13930,14908,UA,15,3,36,25
736137,13930,14908,UA,15,3,14,-14
736769,13930,14908,UA,13,1,-2,-45
736948,13930,14908,UA,13,1,-1,-42
737135,14307,13930,UA,13,1,-2,-28
737145,13930,14307,UA,13,1,-4,-2
737160,13930,14908,UA,13,1,-1,-35
737171,14908,13930,UA,13,1,12,32
737177,14908,13930,UA,13,1,-3,19
737230,14908,13930,UA,13,1,-5,-5
737458,14908,13930,UA,11,6,17,2
737526,14908,13930,UA,11,6,219,222
737578,13930,14908,UA,11,6,-5,-36
737611,13930,14908,UA,11,6,211,168
737625,14908,13930,UA,11,6,0,3
737936,13930,14307,UA,11,6,8,7
738101,13930,14908,UA,14,2,25,-8
738393,14908,13930,UA,14,2,-3,-2
738497,13930,14908,UA,13,1,27,-4
738659,14908,13930,UA,13,1,5,12
739163,14307,13930,UA,12,7,-3,-30
739282,13930,14908,UA,12,7,-3,-61
739767,14908,13930,UA,15,3,0,-3
739867,13930,14908,UA,15,3,0,-36
739990,14908,13930,UA,15,3,-3,-4
739998,14908,13930,UA,15,3,-5,38
740033,13930,14908,UA,15,3,0,-38
740189,14908,13930,UA,12,7,6,17
740342,13930,14908,UA,12,7,9,-50
740371,13930,14908,UA,12,7,-6,-66
740392,14307,13930,UA,12,7,-10,-14
740562,13930,14307,UA,12,7,-5,-19
740576,14908,13930,UA,12,7,-1,26
740598,13930,14908,UA,12,7,21,-19
740766,14908,13930,UA,12,7,-3,20
741157,14908,13930,UA,9,4,3,-17
741199,13930,14908,UA,9,4,-6,-44
741331,13930,14908,UA,10,5,53,44
741468,14908,13930,UA,10,5,22,7
741516,13930,14908,UA,10,5,4,10
741697,14307,13930,UA,10,5,-6,-5
741707,13930,14307,UA,10,5,0,-11
741727,13930,14908,UA,10,5,185,143
741736,14908,13930,UA,10,5,69,73
741742,14908,13930,UA,10,5,-8,-1
742104,14908,13930,UA,8,3,-10,-25
742206,13930,14908,UA,8,3,-9,-31
742332,14908,13930,UA,8,3,5,-10
742339,14908,13930,UA,8,3,0,-11
742365,14908,13930,UA,8,3,-8,-24
742376,13930,14908,UA,8,3,-5,-47
742560,14307,13930,UA,8,3,8,-16
742568,13930,14307,UA,8,3,0,12
742586,13930,14908,UA,8,3,-8,-28
743605,13930,14908,UA,8,3,3,6
743807,14307,13930,UA,9,4,5,-17
743817,13930,14307,UA,9,4,-2,5
743835,13930,14908,UA,9,4,-5,-31
743846,14908,13930,UA,9,4,50,51
743852,14908,13930,UA,9,4,-1,-12
744041,13930,14908,UA,9,4,-3,-32
744202,14908,13930,UA,9,4,-2,-11
744588,13930,14908,UA,6,1,-6,-38
744725,14908,13930,UA,6,1,-2,-20
744772,13930,14908,UA,6,1,-2,-29
744960,14307,13930,UA,6,1,53,30
744971,13930,14307,UA,6,1,64,56
744987,13930,14908,UA,6,1,18,-1
744999,14908,13930,UA,6,1,-8,-18
745006,14908,13930,UA,6,1,-8,-19
745195,13930,14908,UA,6,1,7,-3
745358,14307,13930,UA,7,2,-9,-25
745365,13930,14307,UA,7,2,-6,-5
745378,13930,14908,UA,7,2,-7,-32
745390,14908,13930,UA,7,2,-5,-20
745586,13930,14908,UA,7,2,17,6
745875,14908,13930,UA,7,2,-5,-5
746315,13930,14307,UA,5,7,0,-3
746329,14908,13930,UA,5,7,-5,-9
746520,14908,13930,UA,5,7,34,13
746634,13930,14908,UA,5,7,46,18
747025,13930,14908,UA,7,2,30,8
747157,14908,13930,UA,7,2,-11,-35
747165,14908,13930,UA,7,2,-2,-4
747199,13930,14908,UA,7,2,-3,-23
747698,14307,13930,UA,5,7,-3,-33
747868,13930,14908,UA,5,7,-7,-35
747942,14908,13930,UA,5,7,-4,-22
748101,13930,14908,UA,5,7,29,10
748132,13930,14908,UA,5,7,66,15
748159,14307,13930,UA,5,7,-2,-26
748319,13930,14908,UA,3,5,-4,-34
748501,14908,13930,UA,6,1,0,-12
748611,14908,13930,UA,4,6,-8,-1
748918,13930,14307,UA,4,6,71,58
748943,14908,13930,UA,4,6,-7,-21
749690,13930,14307,UA,2,4,-5,-5
749746,13930,14908,UA,2,4,9,5
749907,14908,13930,UA,2,4,-4,0
750172,14908,13930,UA,4,6,-10,7
750287,13930,14908,UA,4,6,-3,-32
750328,13930,14908,UA,4,6,-6,-34
750864,13930,14908,UA,2,4,26,7
751000,14908,13930,UA,2,4,-6,-25
751046,13930,14908,UA,2,4,0,-21
751235,14307,13930,UA,2,4,-8,-17
751260,13930,14908,UA,2,4,-6,-23
751272,14908,13930,UA,2,4,-1,-2
751275,14908,13930,UA,2,4,-3,-9
751308,13930,14908,UA,1,3,-2,-21
751429,14908,13930,UA,1,3,-7,-14
751437,14908,13930,UA,1,3,-1,-3
751477,13930,14908,UA,1,3,-4,-20
751814,14908,13930,UA,3,5,270,267
751828,14307,13930,UA,3,5,21,42
751854,13930,14908,UA,3,5,72,39
751865,14908,13930,UA,3,5,152,166
751872,14908,13930,UA,3,5,49,40
752011,13930,14307,UA,3,5,13,4
752065,13930,14908,UA,3,5,117,92
752083,13930,14908,UA,3,5,81,54
752237,14908,13930,UA,3,5,107,115
752448,13930,14908,UA,1,3,9,-1
753213,14908,13930,UA,1,3,31,9
753222,14307,13930,UA,1,3,0,0
753248,13930,14908,UA,1,3,-1,-21
753413,13930,14307,UA,1,3,-2,10
756110,14908,13930,UA,1,3,58,43
776964,10140,13930,MQ,1,6,1,7
776965,10140,13930,MQ,2,7,95,96
776966,10140,13930,MQ,3,1,28,28
776967,10140,13930,MQ,4,2,22,30
776968,10140,13930,MQ,5,3,19,10
776969,10140,13930,MQ,6,4,12,0
776970,10140,13930,MQ,7,5,-1,12
776971,10140,13930,MQ,8,6,0,-4
776972,10140,13930,MQ,9,7,0,-1
776973,10140,13930,MQ,10,1,7,12
776974,10140,13930,MQ,11,2,30,56
777065,13930,14307,EV,9,7,28,3
777066,13930,14307,EV,16,7,1,-19
777067,13930,14307,EV,23,7,44,34
777068,13930,14307,EV,30,7,68,66
777070,14307,13930,EV,9,7,0,23
777071,14307,13930,EV,23,7,66,87
777072,14307,13930,EV,16,7,-7,-2
777073,14307,13930,EV,30,7,64,73
778788,13930,10140,MQ,1,6,43,58
778789,13930,10140,MQ,2,7,23,21
778790,13930,10140,MQ,3,1,-3,-1
778791,13930,10140,MQ,4,2,36,34
778792,13930,10140,MQ,5,3,26,27
778793,13930,10140,MQ,6,4,0,-6
778794,13930,10140,MQ,7,5,58,35
778795,13930,10140,MQ,8,6,7,8
778796,13930,10140,MQ,9,7,62,46
778797,13930,10140,MQ,10,1,71,68
778798,13930,10140,MQ,11,2,53,56
778961,10140,13930,MQ,12,3,0,0
778962,10140,13930,MQ,13,4,50,35
778963,10140,13930,MQ,14,5,108,114
778964,10140,13930,MQ,15,6,52,46
778965,10140,13930,MQ,16,7,-2,-17
778966,10140,13930,MQ,17,1,146,136
778967,10140,13930,MQ,18,2,60,43
778968,10140,13930,MQ,19,3,65,0
778969,10140,13930,MQ,20,4,-4,-13
778970,10140,13930,MQ,21,5,66,71
778971,10140,13930,MQ,22,6,1,-4
778972,10140,13930,MQ,23,7,36,62
778973,10140,13930,MQ,24,1,114,106
778974,10140,13930,MQ,25,2,98,102
778975,10140,13930,MQ,26,3,54,124
778976,10140,13930,MQ,27,4,-3,-14
778977,10140,13930,MQ,28,5,107,152
778978,10140,13930,MQ,29,6,121,151
778979,10140,13930,MQ,30,7,3,3
778980,13930,10140,MQ,12,3,8,19
778981,13930,10140,MQ,13,4,49,54
778982,13930,10140,MQ,14,5,81,99
778983,13930,10140,MQ,15,6,4,15
778984,13930,10140,MQ,16,7,0,-1
778985,13930,10140,MQ,17,1,150,148
778986,13930,10140,MQ,18,2,54,52
778987,13930,10140,MQ,19,3,0,17
778988,13930,10140,MQ,20,4,4,2
778989,13930,10140,MQ,21,5,63,70
778990,13930,10140,MQ,22,6,0,-1
778991,13930,10140,MQ,23,7,0,21
778992,13930,10140,MQ,24,1,112,110
778993,13930,10140,MQ,25,2,103,104
778994,13930,10140,MQ,26,3,62,51
778995,13930,10140,MQ,27,4,-1,-10
778996,13930,10140,MQ,28,5,102,113
778997,13930,10140,MQ,29,6,82,123
778998,13930,10140,MQ,30,7,-1,-2
780522,10140,13930,MQ,1,6,-11,-19
780523,10140,13930,MQ,2,7,0,0
780524,10140,13930,MQ,3,1,164,173
780525,10140,13930,MQ,4,2,-1,-7
780526,10140,13930,MQ,5,3,-6,-11
780527,10140,13930,MQ,6,4,-5,-13
780528,10140,13930,MQ,7,5,-5,-11
780529,10140,13930,MQ,8,6,0,11
780530,10140,13930,MQ,9,7,-2,18
780531,10140,13930,MQ,10,1,-1,11
780532,10140,13930,MQ,11,2,28,34
781049,13930,10140,MQ,1,6,1,4
781050,13930,10140,MQ,2,7,75,87
781051,13930,10140,MQ,3,1,19,32
781052,13930,10140,MQ,4,2,26,26
781053,13930,10140,MQ,5,3,14,20
781054,13930,10140,MQ,6,4,0,15
781055,13930,10140,MQ,7,5,15,1
781056,13930,10140,MQ,8,6,8,-6
781057,13930,10140,MQ,9,7,4,0
781058,13930,10140,MQ,10,1,15,7
781059,13930,10140,MQ,11,2,30,31
785667,13930,10140,MQ,12,3,0,0
785668,13930,10140,MQ,13,4,60,54
785669,13930,10140,MQ,14,5,53,50
785670,13930,10140,MQ,15,6,35,48
785671,13930,10140,MQ,16,7,-5,13
785672,13930,10140,MQ,17,1,47,55
785673,13930,10140,MQ,18,2,14,10
785674,13930,10140,MQ,19,3,0,-2
785675,13930,10140,MQ,20,4,-2,-2
785676,13930,10140,MQ,21,5,130,131
785677,13930,10140,MQ,22,6,40,34
785678,13930,10140,MQ,23,7,26,45
785679,13930,10140,MQ,24,1,25,19
785680,13930,10140,MQ,25,2,16,10
785681,13930,10140,MQ,26,3,93,87
785682,13930,10140,MQ,27,4,0,8
785683,13930,10140,MQ,28,5,146,144
785684,13930,10140,MQ,29,6,86,75
785685,13930,10140,MQ,30,7,56,62
792946,13930,10140,OO,5,3,-2,4
792947,13930,10140,OO,3,1,-7,-22
792948,13930,10140,OO,4,2,-4,-1
796658,10140,13930,OO,5,3,0,0
796659,10140,13930,OO,4,2,-2,-10
797048,13930,10140,OO,1,6,1,6
804912,10140,13930,OO,3,1,-9,-2
805919,13930,14307,UA,29,6,-1,7
807076,14908,13930,UA,28,5,21,11
807123,13930,14307,UA,28,5,-6,-12
807292,13930,14908,UA,28,5,25,11
807314,14307,13930,UA,28,5,-5,-1
807353,13930,14908,UA,28,5,10,27
807716,13930,14908,UA,30,7,-1,-2
807758,14908,13930,UA,30,7,1,12
